title;slug;status;enabled;sku;price;stock;weight;description;coverImage;thumbnailImage;thumbnailHiddenImage;dimensions;origin;age;quote;quoteAuthor;quoteBackgroundColor;quoteExternalLinkURL;quoteExternalLinkLabel;textAndImageText;textAndImageImage;fullWidthImageImage;productCategory;productType;ageCategory;dimensionsRange;material;;;;
Wooden desk;Wooden desk;Enabled;Enabled;22294;2995;1;185,23 [lbs];No description yet;;;;H 46,65 x W 67,32 x D 26,77;France;1880;;;;;;;;;;;19th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22295;1795;1;127,89 [lbs];No description yet;;;;H 29,53 x W 56,69 x D 33,46;France;1820;;;;;;;;;;;19th Century;;;;;;
 Wooden cabinet with original patina; Wooden cabinet with original patina;Enabled;Enabled;22296;2895;1;202,87 [lbs];No description yet;;;;H 67,91 x W 65,75 x D 24,02;UK;1800;;;;;;;;;;;19th Century;;;;;;
Wood black painted pedestal;Wood black painted pedestal;Enabled;Enabled;22297;495;1;31,31 [lbs];No description yet;;;;H 35,43 x W 14,96 x D 14,96;France;1880;;;;;;;;;;;19th Century;;;;;;
Wood painted white table;Wood painted white table;Enabled;Enabled;22298;895;1;31,53 [lbs];No description yet;;;;H 27,56 x W 30,12 x D 30,12;Central Europe;1930;;;;;;;;;;;20th Century;;;;;;
Set of six wooden chairs with rattan seats;Set of six wooden chairs with rattan seats;Enabled;Enabled;22301;1495;6;17,86 [lbs];No description yet;;;;H 42,91 x W 17,91 x D 18,11;Belgium;1960;;;;;;;;;;;20th Century;;;;;;
Leather gum pommel horse on wheels;Leather gum pommel horse on wheels;Enabled;Enabled;22302;2495;1;114,66 [lbs];No description yet;;;;H 20,47 x W 66,93 x D 40,16;Czechia;1950;;;;;;;;;;;20th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22304;2995;1;211,69 [lbs];No description yet;;;;H 44,88 x W 84,45 x D 20,87;France;1840;;;;;;;;;;;19th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22305;1895;1;141,12 [lbs];No description yet;;;;H 37,4 x W 57,68 x D 23,23;France;1800;;;;;;;;;;;19th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22306;2995;1;152,15 [lbs];No description yet;;;;H 45,67 x W 67,72 x D 20,87;France;1840;;;;;;;;;;;19th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22307;1895;1;147,74 [lbs];No description yet;;;;H 41,73 x W 57,87 x D 18,11;France;1860;;;;;;;;;;;19th Century;;;;;;
Bleached oak buffet;Bleached oak buffet;Enabled;Enabled;22308;2495;1;138,92 [lbs];No description yet;;;;H 35,43 x W 48,82 x D 19,69;France;1840;;;;;;;;;;;19th Century;;;;;;
